v1,v2,,,
NOT SPAM,No that just means you have a fat head,,,
NOT SPAM,Sounds like a plan! Cardiff is still here and still cold! I'm sitting on the radiator!,,,
NOT SPAM,Serious? What like proper tongued her,,,
NOT SPAM,She.s good. She was wondering if you wont say hi but she.s smiling now. So how are you coping with the long distance,,,
NOT SPAM,How i noe... She's in da car now... Later then c lar... I'm wearing shorts...,,,
SPAM,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,,,
NOT SPAM,Yeah whatever lol,,,
NOT SPAM,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,,,
NOT SPAM,Ard 530 lor. I ok then message Ì_ lor.,,,
NOT SPAM,Ok. C u then.,,,
NOT SPAM,Eh ur laptop got no stock lei... He say mon muz come again to take a look c got a not...,,,
NOT SPAM,No need to ke qi... ÌÏ too bored izzit y suddenly thk of this...,,,
NOT SPAM,I wish! I don't think its gonna snow that much. But it will be more than those flurries we usually get that melt before they hit the ground. Eek! We haven't had snow since &lt;#&gt; before I was even born!,,,
SPAM,FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for å£3/wk,,,
NOT SPAM,"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\""""",,,
NOT SPAM,"Oh really? perform, write a paper, go to a movie AND be home by midnight, huh?",,,
NOT SPAM,Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?,,,
NOT SPAM,How? Izzit still raining?,,,
NOT SPAM,As if i wasn't having enough trouble sleeping.,,,
NOT SPAM,I havent add Ì_ yet right.. ,,,
NOT SPAM,Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*,,,
NOT SPAM,Babe ? I lost you ... Will you try rebooting ?,,,
NOT SPAM,Yes. Nigh you cant aha.,,,
NOT SPAM,I thk Ì_ gotta go home by urself. Cos i'll b going out shopping 4 my frens present. ,,,
NOT SPAM,Nooooooo I'm gonna be bored to death all day. Cable and internet outage.,,,
NOT SPAM,Sos! Any amount i can get pls.,,,
NOT SPAM,"Playin space poker, u?",,,
NOT SPAM,How come guoyang go n tell her? Then u told her?,,,
NOT SPAM,You need to get up. Now.,,,
NOT SPAM,They r giving a second chance to rahul dengra.,,,
NOT SPAM,"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?",,,
NOT SPAM,WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!,,,
NOT SPAM,Y Ì_ wan to go there? C doctor?,,,
NOT SPAM,Does daddy have a bb now.,,,
SPAM,"Free Msg: get Gnarls Barkleys \Crazy\"" ringtone TOTALLY FREE just reply GO to this message right now!""",,,
NOT SPAM,She's borderline but yeah whatever.,,,
NOT SPAM,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,,,
NOT SPAM,"Until 545 lor... Ya, can go 4 dinner together...",,,
NOT SPAM,I will be gentle princess! We will make sweet gentle love...,,,
NOT SPAM,How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch,,,
NOT SPAM,"Sorry, went to bed early, nightnight",,,
NOT SPAM,I like to think there's always the possibility of being in a pub later.,,,
NOT SPAM,HMM yeah if your not too grooved out! And im looking forward to my pound special :),,,
NOT SPAM,I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.,,,
NOT SPAM,Hi dude hw r u da realy mising u today,,,
NOT SPAM,Me hungry buy some food good lei... But mum n yun dun wan juz buy a little bit... ,,,
SPAM,Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!,,,
NOT SPAM,I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?,,,
NOT SPAM,I knew it... U slept v late yest? Wake up so late...,,,
NOT SPAM,Haha... dont be angry with yourself... Take it as a practice for the real thing. =) ,,,
NOT SPAM,Where is that one day training:-),,,
NOT SPAM,So i could kiss and feel you next to me...,,,
NOT SPAM,Have a nice day my dear.,,,
NOT SPAM,I sent lanre fakeye's Eckankar details to the mail box,,,
NOT SPAM,Your dad is back in ph?,,,
SPAM,"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo""",,,
NOT SPAM,If you ask her or she say any please message.,,,
NOT SPAM,"If e timing can, then i go w u lor...",,,
NOT SPAM,Love you aathi..love u lot..,,,
NOT SPAM,I was just callin to say hi. Take care bruv!,,,
SPAM,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To collect is easy. Just call 09061743386,,,
NOT SPAM,Did u turn on the heater? The heater was on and set to &lt;#&gt; degrees.,,,
NOT SPAM,Thanks for your message. I really appreciate your sacrifice. I'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. I'm in class now. Do have a wonderful day.,,,
NOT SPAM,"That's the trouble with classes that go well - you're due a dodgey one ‰Û_ Expecting mine tomo! See you for recovery, same time, same place ",,,
SPAM,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674&,,,
NOT SPAM,WOT U UP 2 J?,,,
NOT SPAM,"Night night, see you tomorrow",,,
NOT SPAM,Roger that. We‰Û÷re probably going to rem in about 20,,,
NOT SPAM,do u think that any girl will propose u today by seing ur bloody funky shit fucking face...............asssssholeeee................,,,
NOT SPAM,I wish u were here. I feel so alone,,,
SPAM,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs,,,
NOT SPAM,Reason is if the team budget is available at last they buy the unsold players for at base rate..,,,
NOT SPAM,CERI U REBEL! SWEET DREAMZ ME LITTLE BUDDY!! C YA 2MORO! WHO NEEDS BLOKES,,,
SPAM,ringtoneking 84484,,,
NOT SPAM,Huh i cant thk of more oredi how many pages do we have?,,,
NOT SPAM,His frens go then he in lor. Not alone wif my mum n sis lor.,,,
NOT SPAM,Nationwide auto centre (or something like that) on Newport road. I liked them there,,,
NOT SPAM,"Hey, I missed you tm of last night as my phone was on the charge ... *smiles* ... I am meeting a friend shortly",,,
NOT SPAM,"Whatever, juliana. Do whatever you want.",,,
NOT SPAM,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e",,,
SPAM,Ringtone Club: Gr8 new polys direct to your mobile every week !,,,
NOT SPAM,"Hello. Sort of out in town already. That . So dont rush home, I am eating nachos. Will let you know eta.",,,
NOT SPAM,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...,,,
SPAM,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,,,
NOT SPAM,I am on the way to ur home,,,
NOT SPAM,"Dizzamn, aight I'll ask my suitemates when I get back",,,
NOT SPAM,"Nimbomsons. Yep phone knows that one. Obviously, cos thats a real word",,,
NOT SPAM,I love to cuddle! I want to hold you in my strong arms right now...,,,
NOT SPAM,R u in this continent?,,,
NOT SPAM,We'll you pay over like  &lt;#&gt; yrs so its not too difficult,,,
SPAM,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,,,
SPAM,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs,,,
NOT SPAM,K...k...when will you give treat?,,,
SPAM,"This is the 2nd time we have tried to contact u. U have won the å£400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate",,,
NOT SPAM,He's just gonna worry for nothing. And he won't give you money its no use.,,,
NOT SPAM,Did you get any gift? This year i didnt get anything. So bad,,,
NOT SPAM,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,,,
NOT SPAM,Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant,,,
NOT SPAM,", ow u dey.i paid 60,400thousad.i told  u would call . ",,,
NOT SPAM,IM FINE BABES AINT BEEN UP 2 MUCH THO! SAW SCARY MOVIE YEST ITS QUITE FUNNY! WANT 2MRW AFTERNOON? AT TOWN OR MALL OR SUMTHIN?xx,,,
NOT SPAM,I'm reaching home in 5 min.,,,
NOT SPAM,"Forgot you were working today! Wanna chat, but things are ok so drop me a text when you're free / bored etc and i'll ring. Hope all is well, nose essay and all xx",,,
NOT SPAM,Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel ,,,
SPAM,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",,,
SPAM,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,,,
NOT SPAM,Discussed with your mother ah?,,,
NOT SPAM,Ok.,,,
NOT SPAM,"Sorry, I can't text &amp; drive coherently, see you in twenty",,,
SPAM,You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!,,,
NOT SPAM,In which place i can get rooms cheap:-),,,
NOT SPAM,Eek that's a lot of time especially since American Pie is like 8 minutes long. I can't stop singing it.,,,
NOT SPAM,"\GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI\""""",,,
SPAM,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at å£350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS",,,
NOT SPAM,University of southern california.,,,
NOT SPAM,We have to pick rayan macleran there.,,,
NOT SPAM,U gd lor go shopping i got stuff to do. U wan 2 watch infernal affairs a not? Come lar...,,,
NOT SPAM,Well. Balls. Time to make calls,,,
NOT SPAM,Wat time Ì_ wan today?,,,
NOT SPAM, &lt;#&gt;  in mca. But not conform.,,,
NOT SPAM,Oh ok.. Wat's ur email?,,,
NOT SPAM,"Yes, princess. Are you going to make me moan?",,,
NOT SPAM,Lol its ok I didn't remember til last nite,,,
NOT SPAM,"[‰Û_] anyway, many good evenings to u! s",,,
NOT SPAM,"Cool, I'll text you in a few",,,
NOT SPAM,"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds..",,,
NOT SPAM,I'm very happy for you babe ! Woo hoo party on dude!,,,
NOT SPAM,I am taking you for italian food. How about a pretty dress with no panties? :),,,
NOT SPAM,Wot u up 2? Thout u were gonna call me!! Txt bak luv K,,,
SPAM,YOU ARE CHOSEN TO RECEIVE A å£350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,,,
NOT SPAM,How are you holding up?,,,
NOT SPAM,Dont flatter yourself... Tell that man of mine two pints of carlin in ten minutes please.... ,,,
NOT SPAM,Hope you are not scared!,,,
NOT SPAM,I cant pick the phone right now. Pls send a message,,,
NOT SPAM,I'm at home n ready...,,,
SPAM,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,,,
NOT SPAM,What time do u get out?,,,
NOT SPAM,I am literally in bed and have been up for like  &lt;#&gt;  hours,,,
NOT SPAM,"Yes, my reg is  Ciao!",,,
NOT SPAM,If You mean the website. Yes.,,,
SPAM,Win a å£1000 cash prize or a prize worth å£5000,,,
SPAM,"Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182",,,
NOT SPAM,Lol or I could just starve and lose a pound by the end of the day.,,,
NOT SPAM,Yeah that's the impression I got,,,
NOT SPAM,Ok ok take care. I can understand.,,,
NOT SPAM,"Motivate Behind every darkness, there is a shining light waiting for you to find it... Behind every best friend, there is always trust and love... BSLVYL",,,
NOT SPAM,"Ya ok, then had dinner?",,,
NOT SPAM,I was slept that time.you there?,,,
NOT SPAM,dont make ne plans for nxt wknd coz she wants us to come down then ok,,,
NOT SPAM,When is school starting. Where will you stay. What's the weather like. And the food. Do you have a social support system like friends in the school. All these things are important.,,,
NOT SPAM,"Ha ha nan yalrigu heltini..Iyo kothi chikku, u shared many things wit me..so far i didn't told any body and even uttered a word abt u.. If ur trusting me so much how can i tell these to others.. Plz nxt time dont use those words to me..ok, chikku:-);-)B-)",,,
NOT SPAM,Noice. Text me when you're here,,,
NOT SPAM,Hi di is yijue we're meeting at 7 pm at esaplanade tonight.,,,
SPAM,Moby Pub Quiz.Win a å£100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP å£1.50 008704050406 SP,,,
SPAM,"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only å£1.50/week. SavaMob - offers mobile!",,,
NOT SPAM,"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was",,,
NOT SPAM,Hi dear we saw dear. We both are happy. Where you my battery is low,,,
NOT SPAM,How are you. Its been ages. How's abj,,,
NOT SPAM,Prof: you have passed in all the papers in this sem congrats . . . . Student: Enna kalaachutaarama..!! Prof:???? Gud mrng!,,,
NOT SPAM,Dont kick coco when he's down,,,
NOT SPAM,Fyi I'm gonna call you sporadically starting at like  &lt;#&gt;  bc we are not not doin this shit,,,
SPAM,"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 ",,,
SPAM,TBS/PERSOLVO. been chasing us since Sept forå£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.,,,
NOT SPAM,Hope youåÕre not having too much fun without me!! see u tomorrow love jess x,,,
NOT SPAM,Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all,,,
NOT SPAM,I've reached home n i bathe liao... U can call me now...,,,
SPAM,Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821,,,
NOT SPAM,Was the actual exam harder than NBME,,,
NOT SPAM,A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol,,,
NOT SPAM,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U",,,
SPAM,87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077,,,
NOT SPAM,Hey sathya till now we dint meet not even a single time then how can i saw the situation sathya.,,,
NOT SPAM,Gam gone after outstanding innings.,,,
NOT SPAM,O i played smash bros  &lt;#&gt;  religiously.,,,
NOT SPAM,"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola",,,
NOT SPAM,Hurry home. Soup is DONE!,,,
NOT SPAM,No no. I will check all rooms befor activities,,,
NOT SPAM,"Good afternoon, my love. It was good to see your words on YM and get your tm. Very smart move, my slave ... *smiles* ... I drink my coffee and await you.",,,
NOT SPAM,Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...,,,
SPAM,"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP.",,,
NOT SPAM,Lemme know when you're here,,,
SPAM,PRIVATE! Your 2003 Account Statement for 07973788240 shows 800 un-redeemed S. I. M. points. Call 08715203649 Identifier Code: 40533 Expires 31/10/04,,,
NOT SPAM,He needs to stop going to bed and make with the fucking dealing,,,
NOT SPAM,"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea",,,
SPAM,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT + free camcorder Reply of call 08000930705 Now,,,
NOT SPAM,"Hey doc pls I want to get nice t shirt for my hubby nice fiting ones my budget is  &lt;#&gt; k help pls I will load d card abi hw,keep me posted luv. 2 mj",,,
NOT SPAM,I remain unconvinced that this isn't an elaborate test of my willpower,,,
NOT SPAM,"\Life is nothing wen v get everything\"". But \""life is everything wen v miss something \"". Real value of people wil be realized only in their absence.... gud mrng""",,,
NOT SPAM,how are you? I miss you!,,,
NOT SPAM,I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy,,,
NOT SPAM,"Hey , is * rite u put åÈ10 evey mnth is that all?",,,
NOT SPAM,i am going to bed now prin,,,
NOT SPAM,I think just yourself ‰Û_Thanks and see you tomo,,,
NOT SPAM,If u dun drive then how i go 2 sch.,,,
NOT SPAM,I not at home now lei...,,,
SPAM,GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@å£1.50rcvd,,,
NOT SPAM,Ok then i will come to ur home after half an hour,,,
SPAM,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,,,
NOT SPAM,Do u hav any frnd by name ashwini in ur college?,,,
NOT SPAM,Jus finish my lunch on my way home lor... I tot u dun wan 2 stay in sch today...,,,
NOT SPAM,K then 2marrow are you coming to class.,,,
SPAM,"HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",,,
NOT SPAM,Pls send me your address sir.,,,
NOT SPAM,I want to lick your pussy now...,,,
NOT SPAM,"Yo, you gonna still be in stock tomorrow/today? I'm trying to get a dubsack",,,
SPAM,URGENT! Your Mobile number has been awarded a <UKP>2000 prize GUARANTEED. Call 09061790125 from landline. Claim 3030. Valid 12hrs only 150ppm,,,
NOT SPAM,"I'll see, but prolly yeah",,,
NOT SPAM,Thought we could go out for dinner. I'll treat you! Seem ok?,,,
NOT SPAM,Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?,,,
NOT SPAM,Sorry. You never hear unless you book it. One was kinda a joke--thet were really looking for skinny white girls. The other was one line--you can only do so much on camera with that. Something like that they're casting on the look.,,,
NOT SPAM,What you doing?how are you?,,,
NOT SPAM,"Sure thing big man. i have hockey elections at 6, shouldn‰Û÷t go on longer than an hour though",,,
NOT SPAM,Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...,,,
NOT SPAM,Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:),,,
NOT SPAM,"Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well.",,,
NOT SPAM,Yunny... I'm goin to be late,,,
NOT SPAM,Doc prescribed me morphine cause the other pain meds aren't enough. Waiting for my mom to bring it. That med should kick in fast so I'm gonna try to be on later,,,
NOT SPAM,"Cool, want me to go to kappa or should I meet you outside mu",,,
NOT SPAM,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe",,,
NOT SPAM,May b approve panalam...but it should have more posts..,,,
SPAM,"SPJanuary Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",,,
NOT SPAM,"Sorry, I'll call later",,,
NOT SPAM,I dont thnk its a wrong calling between us,,,
NOT SPAM,Me i'm not workin. Once i get job...,,,
NOT SPAM,And by when you're done I mean now,,,
NOT SPAM,\Its Ur luck to Love someone. Its Ur fortune to Love the one who Loves U. But," its a miracle to Love a person who can't Love anyone except U...\"" Gud nyt...""",,
NOT SPAM,Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx,,,
SPAM,FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end,,,
NOT SPAM,Is it your yahoo boys that bring in the perf? Or legal.,,,
NOT SPAM,No need to say anything to me. I know i am an outsider,,,
NOT SPAM,have you ever had one foot before?,,,
NOT SPAM,Just got to  &lt;#&gt;,,,
NOT SPAM,"Good! No, don‰Û÷t need any receipts‰ÛÓwell done! (‰Û_) Yes, please tell . What‰Û÷s her number, i could ring her",,,
NOT SPAM,"Ever green quote ever told by Jerry in cartoon \A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt""",,,
NOT SPAM,Leave it wif me lar... ÌÏ wan to carry meh so heavy... Is da num 98321561 familiar to Ì_?,,,
NOT SPAM,Beautiful truth : Expression of the face could Be seen by everyone... But the depression of heart Could be understood only By the Loved ones.. Gud Ni8;-),,,
NOT SPAM,Infact happy new year. How are you where are you when are we seeing,,,
SPAM,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)",,,
NOT SPAM,That's a sNOT SPAMe! Maybe cld meet for few hrs tomo?,,,
NOT SPAM,Lol I would but despite these cramps I like being a girl.,,,
NOT SPAM,I canåÕt wait for cornwall. Hope tonight isnåÕt too bad as well but itåÕs rock night shite. Anyway iåÕm going for a kip now have a good night. Speak to you soon.,,,
NOT SPAM,Pls help me tell sura that i'm expecting a battery from hont. And that if should pls send me a message about how to download movies. Thanks,,,
SPAM,Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's,,,
NOT SPAM,"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ...",,,
NOT SPAM,I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?,,,
NOT SPAM,ÌÏ comin to fetch us oredi...,,,
NOT SPAM,What's nannys address?,,,
SPAM,"URGENT!! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",,,
NOT SPAM,Haf u eaten? Wat time u wan me 2 come?,,,
SPAM,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery,,,
NOT SPAM,"Yo, call me when you get the chance, a friend of mine wanted me to ask you about a big order",,,
NOT SPAM,This single single answers are we fighting? Plus i said am broke and you didnt reply,,,
NOT SPAM,It certainly puts things into perspective when something like this happens,,,
NOT SPAM,Now got tv 2 watch meh? U no work today?,,,
NOT SPAM,i felt so...not any conveying reason.. Ese he... What about me?,,,
SPAM,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,,,
NOT SPAM,How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.,,,
NOT SPAM,I told that am coming on wednesday.,,,
NOT SPAM,"Its ok, called mom instead have fun",,,
SPAM,"Dear Voucher Holder, To claim this weeks offer, at your PC please go to http://www.wtlp.co.uk/text. Ts&Cs apply.",,,
NOT SPAM,Well if I'm that desperate I'll just call armand again,,,
NOT SPAM,Are you at work right now ?,,,
SPAM,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,,,
NOT SPAM,Haven't heard anything and he's not answering my texts so I'm guessing he flaked. That said the jb is fantastic,,,
NOT SPAM,"Mmmmmm ... I love you,so much, Ahmad ... I can't wait for this year to begin as every second takes me closer to being at your side. Happy New Year, my love!!",,,
NOT SPAM,Pls what's the full name of joke's school cos fees in university of florida seem to actually be  &lt;#&gt; k. Pls holla back,,,
NOT SPAM,"Sorry, I'll call later",,,
NOT SPAM,Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.,,,
NOT SPAM,And pls pls drink plenty plenty water,,,
NOT SPAM,How are you doing. How's the queen. Are you going for the royal wedding,,,
NOT SPAM,He's in lag. That's just the sad part but we keep in touch thanks to skype,,,
NOT SPAM,Ok lor then we go tog lor...,,,
NOT SPAM,Two teams waiting for some players,,,
NOT SPAM,Can Ì_ send me a copy of da report?,,,
NOT SPAM,"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care.",,,
NOT SPAM,"Ok da, i already planned. I wil pick you.",,,
SPAM,"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or å£10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+",,,
NOT SPAM,"Sorry, I'll call later in meeting",,,
NOT SPAM,I just really need shit before tomorrow and I know you won't be awake before like 6,,,
NOT SPAM,I'm good. Have you registered to vote?,,,
NOT SPAM,"Hmm ok, i'll stay for like an hour cos my eye is really sore!",,,
NOT SPAM,Dear got bus directly to calicut,,,
NOT SPAM,Mm umma ask vava also to come tell him can play later together,,,
NOT SPAM,"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want",,,
NOT SPAM,"Sorry, I'll call later",,,
NOT SPAM,"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning",,,
NOT SPAM,&lt;#&gt;  w jetton ave if you forgot,,,
NOT SPAM,Ok i'm coming home now.,,,
NOT SPAM,Can not use foreign stamps in this country.,,,
SPAM,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",,,
NOT SPAM,"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy",,,
SPAM,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,,,
SPAM,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",,,
SPAM,"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost å£1.50. 2 cancel send STOP",,,
NOT SPAM,I will come tomorrow di,,,
NOT SPAM,Wylie update: my weed dealer carlos went to freedom and had a class with lunsford,,,
NOT SPAM,Are you happy baby ? Are you alright ? Did you take that job ? I hope your fine. I send you a kiss to make you smile from across the sea ... *kiss* *kiss*,,,
NOT SPAM,C movie is juz last minute decision mah. Juz watch 2 lar but i tot Ì_ not interested.,,,
NOT SPAM,How are you enjoying this semester? Take care brother.,,,
SPAM,IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!,,,
NOT SPAM,"Get the door, I'm here",,,
NOT SPAM,"Lets use it next week, princess :)",,,
NOT SPAM,Or i go home first lar Ì_ wait 4 me lor.. I put down my stuff first..,,,
NOT SPAM,I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!,,,
NOT SPAM,No da:)he is stupid da..always sending like this:)don believe any of those message.pandy is a mental:),,,
NOT SPAM,Oi when you gonna ring,,,
SPAM,Missed call alert. These numbers called but left no message. 07008009200,,,
NOT SPAM,I attended but nothing is there.,,,
NOT SPAM,Ard 530 like dat lor. We juz meet in mrt station then Ì_ dun haf to come out.,,,
NOT SPAM,No dear i was sleeping :-P,,,
NOT SPAM,Er mw im filled tuth is aight,,,
NOT SPAM,Will be office around 4 pm. Now i am going hospital.,,,
NOT SPAM,Actually i'm waiting for 2 weeks when they start putting ad.,,,
NOT SPAM,Anything lor if they all go then i go lor...,,,
